,titles,replies,views,activity,category
840,Tags not showing in recent posts,2,413,Jan '17,tech-support-site-feedback
841,Post New First Page,187,464,Jan '17,tech-support-site-feedback
842,"Please ban this spammer, Tapas",3,661,Jan '17,tech-support-site-feedback
843,Can’t change the look of the “Share Thumbnail” - A bug?,180,1.2k,Jan '17,tech-support-site-feedback
844,Ad banner troubles- upload not working?,2,1.0k,Jan '17,tech-support-site-feedback
845,I don’t get notifications,174,576,Jan '17,tech-support-site-feedback
846,Images in forum displayed incorrect,2,349,Jan '17,tech-support-site-feedback
847,Profile page comment history in the wrong order,271,376,Jan '17,tech-support-site-feedback
848,Tags not showing up in notifications?,0,600,Jan '17,tech-support-site-feedback
849,Is there a way to accept tips as coins?,135,427,Jan '17,tech-support-site-feedback
850,What features are available for premium content?,2,646,Jan '17,tech-support-site-feedback
851,Views miscounting?,151,531,Jan '17,tech-support-site-feedback
852,Balance won’t become available,9,1.0k,Jan '17,tech-support-site-feedback
853,Novel creation problem(solved),378,408,Jan '17,tech-support-site-feedback
854,Is there a problem with Ad Impressions?,4,1.2k,Dec '16,tech-support-site-feedback
855,Is it possible to have a comic series with two authors?,210,1.2k,Dec '16,tech-support-site-feedback
856,Profile and links keep deleting and settings keep resetting,5,392,Dec '16,tech-support-site-feedback
857,Notification about the same person following my comic?,220,811,Dec '16,tech-support-site-feedback
858,How to add comic in the website?,10,308,Dec '16,tech-support-site-feedback
859,Why does my comic show cut lines on mobile?,279,907,Dec '16,tech-support-site-feedback
860,Multiple translations problem?,7,962,Dec '16,tech-support-site-feedback
861,The mobile download feature locked me out of my novel,331,292,Dec '16,tech-support-site-feedback
862,I cannot use Tapas. (Website in Desktop),2,822,Dec '16,tech-support-site-feedback
863,How do I delete my forum account?,173,1.1k,Dec '16,tech-support-site-feedback
864,Adding Old Comics,4,608,Dec '16,tech-support-site-feedback
865,Comic not appearing in search,273,712,Dec '16,tech-support-site-feedback
866,Tapas app not working on my android phone or tablet,9,732,Dec '16,tech-support-site-feedback
867,Can’t Find My Comic In Search,183,1.3k,Dec '16,tech-support-site-feedback
868,Is it possible to delete your tapas forum account without deleting your main comic tapas account?,15,1.5k,Dec '16,tech-support-site-feedback
869,IOS 11 Beta adverts on Low Battery mode,309,305,Dec '16,tech-support-site-feedback
870,Using Tapastic on W3M,4,283,Nov '16,tech-support-site-feedback
871,Turning off comments option?,133,330,Nov '16,tech-support-site-feedback
872,Arami game complicated problem,6,527,Nov '16,tech-support-site-feedback
873,Getting ad impressions but no revenue,214,806,Nov '16,tech-support-site-feedback
874,The bothering -> :: when you share,3,507,Nov '16,tech-support-site-feedback
875,I net more get coin videos,137,715,Nov '16,tech-support-site-feedback
876,"BUG - Subscriber Added, but the system is subtracting them instead adding them",1,1.1k,Nov '16,tech-support-site-feedback
877,Bought episodes are shown as locked on the website,136,359,Nov '16,tech-support-site-feedback
878,Profile Settings gone after each log out,18,872,Nov '16,tech-support-site-feedback
879,I keep getting notifications from someone I’m not subscribed to?,6.4k,386,Nov '16,tech-support-site-feedback
880,Forum auto unpins topics when I check updates? [Fixed],2,450,Nov '16,tech-support-site-feedback
881,Possible to Change Order of Episodes?,168,1.2k,Nov '16,tech-support-site-feedback
882,Incorrect Number of Series Displayed (3 Max?),1,524,Nov '16,tech-support-site-feedback
883,Can’t Seem to Post My Latest Comic,279,493,Nov '16,tech-support-site-feedback
884,Why does this happen when I try to log into the forums on my phone?,4,453,Nov '16,tech-support-site-feedback
885,Email and Link problems,157,1.0k,Oct '16,tech-support-site-feedback
886,Possible to make your comic’s main page show the latest comic?,3,796,Oct '16,tech-support-site-feedback
887,Tapas takes 50% of your revenue? Huh?,200,781,Oct '16,tech-support-site-feedback
888,Tapas app force shutting down?,16,481,Oct '16,tech-support-site-feedback
889,Revenue Payout Problems,702,3.0k,Oct '16,tech-support-site-feedback
890,Did anyone else’s queued episode not go public?,2,1.1k,Oct '16,tech-support-site-feedback
891,Bug: Can’t Upload any Episodes “Can’t Recognize Filetype”,225,2.9k,Oct '16,tech-support-site-feedback
892,How do you upload text episodes/novels?,143,2.4k,Oct '16,tech-support-site-feedback
893,No Twitter link in profile?,1.8k,428,Oct '16,tech-support-site-feedback
894,Is there a way to deactivate your account?,5,915,Oct '16,tech-support-site-feedback
895,Bug Report: Custom Ad Banner [ Fixed],210,762,Oct '16,tech-support-site-feedback
896,Coin from ads error,5,384,Oct '16,tech-support-site-feedback
897,Help! I can’t activate my account,220,2.1k,Oct '16,tech-support-site-feedback
898,Previously unlocked episode becomes locked after app update [Android],0,380,Oct '16,tech-support-site-feedback
899,Login glitch that sends me to a NSFW comic?,162,1.2k,Oct '16,tech-support-site-feedback
900,Weird Italic formatting in my chapter?,4,365,Oct '16,tech-support-site-feedback
901,Latest Page Will Not Upload - FIGURED OUT AND FIXED!,305,393,Sep '16,tech-support-site-feedback
902,Separate tips for separate comics,4,334,Sep '16,tech-support-site-feedback
903,OOPS! What do I do?,290,674,Sep '16,tech-support-site-feedback
904,Unable to upload thumbnail,5,692,Sep '16,tech-support-site-feedback
905,Can’t upload comic/images,209,1.4k,Sep '16,tech-support-site-feedback
906,Color loss when uploading new pages,71,540,Sep '16,tech-support-site-feedback
907,How can I build subscribes?,529,495,Sep '16,tech-support-site-feedback
908,How to get people to see my art work all over?,90,531,Sep '16,tech-support-site-feedback
909,Clicking on links in tapas app not working,708,482,Sep '16,tech-support-site-feedback
910,Want to change your Forum Username? Let us know here!,3,7.0k,Sep '16,tech-support-site-feedback
911,Issue uploading forum avatar?,209,6.1k,Sep '16,tech-support-site-feedback
912,Block Feature Please,9,511,Sep '16,tech-support-site-feedback
913,Question about the tapas app + tipping,504,470,Sep '16,tech-support-site-feedback
914,Share thumbnail won’t change,4,763,Sep '16,tech-support-site-feedback
915,Clip Studio Paint Pro Custom Brush Problem!,1.5k,2.0k,Aug '16,tech-support-site-feedback
916,Please delete my account on the internet,2,630,Aug '16,tech-support-site-feedback
917,Log in takes me to a NSFW comic,239,899,Aug '16,tech-support-site-feedback
918,Glitch with my ad revenue,7,675,Aug '16,tech-support-site-feedback
919,Comic not appearing on fresh & updated,214,669,Aug '16,tech-support-site-feedback
920,The emulator is unable to access Tapas,6,540,Aug '16,tech-support-site-feedback
921,Account needs to be completely deleted,164,825,Aug '16,tech-support-site-feedback
922,Uh what the hell is this? (Tapas revenue bug),2,553,Aug '16,tech-support-site-feedback
923,Glitches in Tap,321,615,Aug '16,tech-support-site-feedback
924,Is it now possible for the serie to display its two creators?,5,413,Aug '16,tech-support-site-feedback
925,My comic is posted but I don’t think it’s registering?,216,354,Aug '16,tech-support-site-feedback
926,Password not being accepted,8,519,Aug '16,tech-support-site-feedback
927,New series thumbnail not showing up. HELP!,371,890,Aug '16,tech-support-site-feedback
928,Can’t delete my own series,2,1.1k,Aug '16,tech-support-site-feedback
929,Flipping order of novel episodes,187,556,Aug '16,tech-support-site-feedback
930,Distinguishing Comics and Novels on the front page,8,734,Aug '16,tech-support-site-feedback
931,“Save” button doesn’t work after edit episode description,256,561,Aug '16,tech-support-site-feedback
932,Having Trouble Updating a Page,5,450,Aug '16,tech-support-site-feedback
933,Incorrect Log-in Records Problem,292,528,Jul '16,tech-support-site-feedback
934,Twitter link going to someone else’s comic,3,396,Jul '16,tech-support-site-feedback
935,I still can’t upload drawings from my device on the forums,250,448,Jul '16,tech-support-site-feedback
936,"Why my comic is not appearing in the fresh section? I think us a bug, help me T-T",11,716,Jul '16,tech-support-site-feedback
937,My comic is not showing up in Fresh,284,1.7k,Jul '16,tech-support-site-feedback
938,Blocking and Harassment,8,923,Jul '16,tech-support-site-feedback
939,How much is it the fees from revenues?,247,859,Jul '16,tech-support-site-feedback
940,Old links to tapastic not redirecting anymore,7,772,Jul '16,tech-support-site-feedback
941,"Profile Comments spamming with bots, SUPPORT PLEASE FIX!",272,1.8k,Jul '16,tech-support-site-feedback
942,Ad revenue not counted,7,942,Jul '16,tech-support-site-feedback
943,Hello how can I turn off the ad revenue for a specific comic?,352,507,Jul '16,tech-support-site-feedback
944,How long does it take to get confirmation email?,0,800,Jul '16,tech-support-site-feedback
945,Can you add tapastic app for windows phone,534,515,Jul '16,tech-support-site-feedback
946,Front Page Glitch?,2,730,Jun '16,tech-support-site-feedback
947,Tapastic on Kindle,322,1.1k,Jun '16,tech-support-site-feedback
948,Can’t add a custom ad banner?,12,1.8k,Jun '16,tech-support-site-feedback
949,Ads with Sounds?,390,629,Jun '16,tech-support-site-feedback
950,Tapastic -> tapas.io redirect breaks Facebook auth,7,928,Jun '16,tech-support-site-feedback
951,I think and bilieve Tapastic should do somthing,275,949,Jun '16,tech-support-site-feedback
952,Tapas App White Screened Indefinitely,11,797,Jun '16,tech-support-site-feedback
953,Music on comics wont play,488,778,Jun '16,tech-support-site-feedback
954,"Ad impressions, but no ad revenue?",2,1.0k,Jun '16,tech-support-site-feedback
955,Can’t load messages on desktop tapastic,236,423,Jun '16,tech-support-site-feedback
956,"Locked episodes, no Iphone and no macbook",12,704,Jun '16,tech-support-site-feedback
957,Scrolling through episodes jumps back to previous episode,480,1.6k,Jun '16,tech-support-site-feedback
958,Missing tools in Clip Studio?,2,12.9k,May '16,tech-support-site-feedback
959,Is the fresh section working?,222,513,May '16,tech-support-site-feedback
960,Haven’t received emails for months,2,347,May '16,tech-support-site-feedback
961,Unable to change my Comic Series URL,282,477,May '16,tech-support-site-feedback
962,Login with my fb account,5,2.0k,May '16,tech-support-site-feedback
963,I can’t add tags to individual pages?,396,518,May '16,tech-support-site-feedback
964,Issue with new episode NOT showing up to subscribers!,5,955,May '16,tech-support-site-feedback
965,Scheduled comic says it “will be released” seconds ago,235,543,May '16,tech-support-site-feedback
966,Question about the pic uploading problem,2,1.1k,May '16,tech-support-site-feedback
967,Are you users of the Huion GT220?,174,1.6k,May '16,tech-support-site-feedback
968,How can I change my profile URL?,2,1.1k,May '16,tech-support-site-feedback
969,“OOPS! Something wrong” message whenever I try to upload an image,279,792,May '16,tech-support-site-feedback
970,I cannot private message my freind,3,773,May '16,tech-support-site-feedback
971,Anyone else having problems uploading ‘thank you’ images into people’s profiles?,311,2.3k,May '16,tech-support-site-feedback
972,Can’t comment on a determinated user’s profile,13,574,May '16,tech-support-site-feedback
973,Need help logging in (fromsonsofson comic creator),323,380,May '16,tech-support-site-feedback
974,The tapastic website is completely down for me?,10,1.1k,Apr '16,tech-support-site-feedback
975,Tapas app full screen popups?,790,538,Apr '16,tech-support-site-feedback
976,"I lost 3,000 subscribers out of the blue",6,1.9k,Apr '16,tech-support-site-feedback
977,Does the TAGs exists? Didn’t see anybody with the same problem,423,635,Apr '16,tech-support-site-feedback
978,Is It Possible to See Your Subscribers?,2,1.1k,Apr '16,tech-support-site-feedback
979,Is Tapas Crashing for anyone else?,284,535,Apr '16,tech-support-site-feedback
980,Animated GIFs not allowed for pages?,146,2.1k,Apr '16,tech-support-site-feedback
981,Cannot Upload Pages,1.4k,713,Apr '16,tech-support-site-feedback
982,Is it just me or is the site super slow today?,7,595,Apr '16,tech-support-site-feedback
983,Adverts playing sound,288,548,Apr '16,tech-support-site-feedback
984,[Android] Blank unclosable full-screen ads,3,1.4k,Apr '16,tech-support-site-feedback
985,"More than one genre in one webcomic, pretty please?",345,2.2k,Apr '16,tech-support-site-feedback
986,Trouble with the e-mail for confirming my address!,14,463,Apr '16,tech-support-site-feedback
987,Comic keeps jumping to previous pages when reading,469,979,Apr '16,tech-support-site-feedback
988,Trouble connecting Tapastic account to Tapastic Forum account,6,767,Mar '16,tech-support-site-feedback
989,Disabling Ad Revenue?,614,857,Mar '16,tech-support-site-feedback
990,Profile pic issue,4,968,Mar '16,tech-support-site-feedback
991,Ad Impressions but No Revenue,497,4.4k,Mar '16,tech-support-site-feedback
992,"Tapastic/Tapas App CHANGES, KNOWN ISSUES, and FEEDBACK",5,9.1k,Mar '16,tech-support-site-feedback
993,No Notifications?,264,796,Mar '16,tech-support-site-feedback
994,How do I block/mute someone on Tapastic?,13,1.5k,Mar '16,tech-support-site-feedback
995,Broken AD REV/Broken uploading pictures,288,636,Mar '16,tech-support-site-feedback
996,How Allow multiple authors on a single series?,1,655,Mar '16,tech-support-site-feedback
997,Unable to Update Comic Page?,190,355,Mar '16,tech-support-site-feedback
998,Tapastic coins not showing up?,5,560,Mar '16,tech-support-site-feedback
999,Can I archive or make my series invisible?,342,785,Mar '16,tech-support-site-feedback
1000,"I tried uploading an episode, tells me the file is “too wide”",1,539,Mar '16,tech-support-site-feedback
1001,Can’t change any user images on the forums,201,944,Mar '16,tech-support-site-feedback
1002,Best method for integrating Animation or gifs into comic page,3,2.1k,Mar '16,tech-support-site-feedback
1003,How does one download the Tapastic App on an Android Tablet?,190,574,Mar '16,tech-support-site-feedback
1004,Easier Way to move comics,1,505,Mar '16,tech-support-site-feedback
1005,Issues Previewing and Listening to Music,181,436,Mar '16,tech-support-site-feedback
1006,Can staff please consider implementing a blocking feature?,1,881,Mar '16,tech-support-site-feedback
1007,Lost a comic in my bookmark,170,1.5k,Mar '16,tech-support-site-feedback
1008,No Subscriber Notifications?,2,1.9k,Feb '16,tech-support-site-feedback
1009,TapasApp: Coins not showing up?,747,879,Feb '16,tech-support-site-feedback
1010,App crashes Android version 4.2.2,0,575,Feb '16,tech-support-site-feedback
1011,Tapastic Key receiving problem,198,399,Feb '16,tech-support-site-feedback
1012,How to Turn on the Ad Revenue Program,8,798,Feb '16,tech-support-site-feedback
1013,Tapastic App keeps crashing,461,2.4k,Feb '16,tech-support-site-feedback
1014,Anyone Ad/view revenue stop updating at 28 dec 2016?,2,617,Feb '16,tech-support-site-feedback
1015,"Help! Updated my comic, but the update is not visible and no subscribers have gotten notifications?",262,2.2k,Feb '16,tech-support-site-feedback
1016,The views in my comic aren’t changing,2,1.9k,Feb '16,tech-support-site-feedback
1017,Upload button isn’t working,226,1.6k,Feb '16,tech-support-site-feedback
1018,The “Trending” Page,20,711,Feb '16,tech-support-site-feedback
1019,"My add impression from yesterday is zero, yet I had views",630,461,Feb '16,tech-support-site-feedback
1020,Shift One Inc. Japan,3,1.3k,Jan '16,tech-support-site-feedback
1021,Please fix the pics!,209,891,Jan '16,tech-support-site-feedback
1022,Activity feed in app,4,491,Jan '16,tech-support-site-feedback
1023,TapasApp coins purchase problem,235,474,Jan '16,tech-support-site-feedback
1024,Searching new subscribers,2,510,Jan '16,tech-support-site-feedback
1025,Ads with sound appearing?,192,734,Jan '16,tech-support-site-feedback
1026,Comments appearing in wrong places,3,810,Jan '16,tech-support-site-feedback
1027,Help with Paint Tool Sai?,267,1.7k,Jan '16,tech-support-site-feedback
1028,I’ve got a Typing Issue Here,41,555,Jan '16,tech-support-site-feedback
1029,Tapas App Readers Wish List For Future Versions,858,404,Jan '16,tech-support-site-feedback
1030,Y’all gotta fix this redirect bug,26,748,Jan '16,tech-support-site-feedback
1031,Can you godly peeps help me change my url?,2.6k,514,Jan '16,tech-support-site-feedback
1032,Pages uploading before due date please delete,7,412,Jan '16,tech-support-site-feedback
1033,Later scheduled uploads uploading now on mobile only,358,412,Jan '16,tech-support-site-feedback
1034,Can’t change password,2,681,Jan '16,tech-support-site-feedback
1035,Slicing a series in two different,308,767,Jan '16,tech-support-site-feedback
1036,I was charged twice on my second purchase of coins,7,579,Jan '16,tech-support-site-feedback
1037,Tapastic reloading problem,410,921,Jan '16,tech-support-site-feedback
1038,I have NO views!,34,954,Dec '15,tech-support-site-feedback
1039,My performance graph is stuck on 2015. Help!,43.6k,503,Dec '15,tech-support-site-feedback
1040,Ad revenue / impressions not working,2,728,Dec '15,tech-support-site-feedback
1041,Thumbnail Sizing Problems,337,402,Dec '15,tech-support-site-feedback
1042,Comic Not Showing Up on Profile Page,16,677,Dec '15,tech-support-site-feedback
1043,"Account email help, pretty please?",497,445,Dec '15,tech-support-site-feedback
1044,Yet another bad ad on Tapastic,9,607,Dec '15,tech-support-site-feedback
1045,All Pages Redirtect to Bottom of Newest Page,406,375,Dec '15,tech-support-site-feedback
1046,Embedding Most Recent / Latest Episode,6,458,Dec '15,tech-support-site-feedback
1047,I can’t reply to comments on my/others wall. help!,224,695,Dec '15,tech-support-site-feedback
1048,Comic Icon Troubleshooting?,15,782,Dec '15,tech-support-site-feedback
1049,Sharing Thumbnail bug and Episode number bug,789,353,Dec '15,tech-support-site-feedback
1050,Profile pictures disappearing,1,961,Dec '15,tech-support-site-feedback
1051,My Thumbnail won’t post?,238,520,Nov '15,tech-support-site-feedback
1052,Feedback section,3,451,Nov '15,tech-support-site-feedback
1053,Facebook login issue on mobile app?,298,856,Nov '15,tech-support-site-feedback
1054,Can’t remove series cover banner,0,1.5k,Nov '15,tech-support-site-feedback
1055,Randomly selecting other program while using Clip Studio paint Pro,194,573,Nov '15,tech-support-site-feedback
1056,Potential Malware-Infested Advertisement on Tapastic,24,490,Nov '15,tech-support-site-feedback
1057,Hacked Accounts,840,794,Nov '15,tech-support-site-feedback
1058,Episodes won’t load,4,2.1k,Nov '15,tech-support-site-feedback
1059,Pages not displaying correctly,219,2.0k,Nov '15,tech-support-site-feedback
1060,Can’t access Tapastic on computer,0,521,Nov '15,tech-support-site-feedback
1061,Can’t log in on mobile?,184,606,Nov '15,tech-support-site-feedback
1062,Is This a Glitch?,2,972,Nov '15,tech-support-site-feedback
1063,Not being able to change sharing thumbnail,270,905,Nov '15,tech-support-site-feedback
1064,How to turn off endless scrolling,4,1.0k,Nov '15,tech-support-site-feedback
1065,An ad (or something) on Tapastic tells me to install potentially malicious software,353,711,Nov '15,tech-support-site-feedback
1066,Can inappropriate ads be removed?,6,523,Nov '15,tech-support-site-feedback
1067,How do i change the series’ thumbnail image?,458,571,Nov '15,tech-support-site-feedback
1068,Dashboard Trouble,1,381,Nov '15,tech-support-site-feedback
1069,Not getting notifications for likes on my comic?,375,480,Oct '15,tech-support-site-feedback
1070,Can’t post images to wall? (closed),1,415,Oct '15,tech-support-site-feedback
1071,Crashes after loading,225,552,Oct '15,tech-support-site-feedback
1072,Where do we report content errors with keyed content?,0,418,Oct '15,tech-support-site-feedback
1073,Manga five problem,179,776,Oct '15,tech-support-site-feedback
1074,“Oops! Something Went Wrong” Since Wednesday,2,1.1k,Oct '15,tech-support-site-feedback
1075,Why can’t i delete this? haha Are forum posts permenant?,364,788,Oct '15,tech-support-site-feedback
1076,STILL Not Receiving Updated Comics Emails,7,567,Oct '15,tech-support-site-feedback
1077,Blurry Uploads?,420,715,Oct '15,tech-support-site-feedback
1078,I can’t delete episodes or delete a series,5,1.8k,Oct '15,tech-support-site-feedback
1079,Not receiving email notifications for subscriptions,302,613,Oct '15,tech-support-site-feedback
1080,Is tapastic working for every one because it will not let me post,2,1.1k,Oct '15,tech-support-site-feedback
1081,Remove profile picture,399,513,Sep '15,tech-support-site-feedback
1082,Forced fake adobe flash/shockwave updates from ads,2,1.6k,Sep '15,tech-support-site-feedback
1083,Can blank pages/images be fixed in the App?,299,530,Sep '15,tech-support-site-feedback
1084,Email notifications from Tapastic,50,501,Sep '15,tech-support-site-feedback
1085,Main site is slow today,3.2k,978,Sep '15,tech-support-site-feedback
1086,Subscription emails?,4,729,Sep '15,tech-support-site-feedback
1087,Can’t schedule an episode?,312,1.2k,Sep '15,tech-support-site-feedback
1088,Dashboard Problems,6,808,Sep '15,tech-support-site-feedback
1089,How to empty app inbox,490,477,Sep '15,tech-support-site-feedback
1090,"Oops, Mysterious Error Happened, Oh Well",4,986,Sep '15,tech-support-site-feedback
1091,Subscriber count is stuck?,381,1.7k,Sep '15,tech-support-site-feedback
1092,"Please help, I have a question about this Ads Revenue",12,666,Sep '15,tech-support-site-feedback
1093,Like Button on Mobile,540,750,Sep '15,tech-support-site-feedback
1094,Non active user and taken url,8,609,Sep '15,tech-support-site-feedback
1095,Disabling the auto-advance feature,484,562,Sep '15,tech-support-site-feedback
1096,Not Receiving Emails Again,2,465,Sep '15,tech-support-site-feedback
1097,Terrible lack of views,368,2.1k,Aug '15,tech-support-site-feedback
1098,Tools missing in clip studio pro,4,586,Aug '15,tech-support-site-feedback
1099,Why does new Tapas app (on Android) need Location permissions?,335,525,Aug '15,tech-support-site-feedback
1100,Can’t access tapastic.com,5,1.2k,Aug '15,tech-support-site-feedback
1101,Anyone else getting blurry thumbnails?,318,1.2k,Aug '15,tech-support-site-feedback
1102,Why wont SoundCloud work? [Work Around Solution],2,4.0k,Aug '15,tech-support-site-feedback
1103,Scheduled posts dissapearing,260,709,Aug '15,tech-support-site-feedback
1104,Should this guy be allowed on Tapastic?,1,1.3k,Aug '15,tech-support-site-feedback
1105,Malware warning/virus ad URGENT,253,786,Aug '15,tech-support-site-feedback
1106,How to jump to last page?,2,691,Aug '15,tech-support-site-feedback
1107,How to deactivate/delete forum acc,289,1.1k,Aug '15,tech-support-site-feedback
1108,“Tag required”?,5,587,Aug '15,tech-support-site-feedback
1109,Changing Comic URL,396,518,Aug '15,tech-support-site-feedback
1110,Ad Revenue Problem,9,517,Aug '15,tech-support-site-feedback
1111,Soundcloud music not playing for episode,431,863,Aug '15,tech-support-site-feedback
1112,Ad Revenue did not update,9,2.4k,Aug '15,tech-support-site-feedback
1113,“Urgent Firefox Upgrade” orange screen with Download verification took over a page I was viewing,564,1.1k,Aug '15,tech-support-site-feedback
1114,Comics not uploading?,1,927,Aug '15,tech-support-site-feedback
1115,Is the site down currently?,210,928,Aug '15,tech-support-site-feedback
1116,How long does it take for titles and tags to appear in searches?,1,1.5k,Aug '15,tech-support-site-feedback
1117,Google Analytics,281,1.4k,Jul '15,tech-support-site-feedback
1118,No Notification Emails,9,798,Jul '15,tech-support-site-feedback
1119,Forums down for more than 6 hours - was it just me?,655,981,Jul '15,tech-support-site-feedback
1120,Is the page freezing for anyone else on Chrome when loading new episodes?,10,555,Jul '15,tech-support-site-feedback
1121,“Add Translation” feature missing?,453,618,Jul '15,tech-support-site-feedback
1122,No sound from Soundcloud? A possible solution,2,1.9k,Jul '15,tech-support-site-feedback
1123,Profile description gone,332,717,Jul '15,tech-support-site-feedback
1124,Ninja avatars! ARGGGH!,17,1.1k,Jul '15,tech-support-site-feedback
1125,Accidentally deleted an episode,722,1.7k,Jul '15,tech-support-site-feedback
1126,Can’t remove my series cover banner?,22,443,Jul '15,tech-support-site-feedback
1127,Is soundcloud button broken?,1.0k,842,Jul '15,tech-support-site-feedback
1128,Hang time while browsing on desktop,12,717,Jul '15,tech-support-site-feedback
1129,Facebook sharing is not showing comic page preview or title,531,1.4k,Jul '15,tech-support-site-feedback
1130,No notifications for likes?,2,1.1k,Jun '15,tech-support-site-feedback
1131,Tapastic widget?,459,1.3k,Jun '15,tech-support-site-feedback
1132,Need help with url,4,739,Jun '15,tech-support-site-feedback
1133,Schedule still not working after last update,695,921,Jun '15,tech-support-site-feedback
1134,Another Harassment Report,1,906,Jun '15,tech-support-site-feedback
1135,Invisible Avatars?,301,2.8k,Jun '15,tech-support-site-feedback
1136,I’m feeling the most depressed Ive been in this month,2,1.3k,Jun '15,tech-support-site-feedback
1137,Schedule date wrong and translation button where?,621,1.1k,Jun '15,tech-support-site-feedback
1138,I stopped receiving ad revenue moneys!,8,2.3k,Jun '15,tech-support-site-feedback
1139,"I can’t log into the app, does anyone know a solution?",481,556,Jun '15,tech-support-site-feedback
1140,Art looks darker on mobile?,6,962,Jun '15,tech-support-site-feedback
1141,The Daily Limit is still bringing me down,335,587,Jun '15,tech-support-site-feedback
1142,Can’t post pictures of my newest comic pages,7,1.8k,Jun '15,tech-support-site-feedback
1143,Clip Studio Paint Pro - no colors working?!,352,4.3k,Jun '15,tech-support-site-feedback
1144,"Is anyone else having issues uploading art/pics, or is it just me?",5,506,Jun '15,tech-support-site-feedback
1145,Can’t access to tapastic website,362,475,Jun '15,tech-support-site-feedback
1146,The like counter seems to be stuck,10,807,Jun '15,tech-support-site-feedback
1147,Can’t upload animated avatar,465,1.5k,May '15,tech-support-site-feedback
1148,Embedding Tapastic comics to Medium,14,592,May '15,tech-support-site-feedback
1149,Page performance slows after viewing several episodes in a row,602,1.1k,May '15,tech-support-site-feedback
1150,Can someone please explain how Ad Revenue Works on Topastic?,11,1.2k,May '15,tech-support-site-feedback
1151,Completed comic disappears from your profile?,896,610,May '15,tech-support-site-feedback
1152,What happened to Comics > Browse All > Date?,1,1.3k,May '15,tech-support-site-feedback
1153,Anyone else having trouble with the pages scroll bar?,223,642,May '15,tech-support-site-feedback
1154,Analytic Numbers not aligning?,7,549,May '15,tech-support-site-feedback
1155,Different subscriber numbers on profile and wall?,451,1.1k,May '15,tech-support-site-feedback
1156,Like button on profile walls?,4,990,May '15,tech-support-site-feedback
1157,How to point my domain to my tapastic comic,313,1.1k,May '15,tech-support-site-feedback
1158,Possible share-stat issues,3,1.5k,May '15,tech-support-site-feedback
1159,Some subscribers not getting email notifications (edit: might be fixed now),338,527,May '15,tech-support-site-feedback
1160,How do I publish prose on Tapastic?,7,618,May '15,tech-support-site-feedback
1161,Username/Profile comment Bug?,504,852,Apr '15,tech-support-site-feedback
1162,Uploading problem,9,679,Apr '15,tech-support-site-feedback
1163,Anyone else having trouble editing their profile on the main site?,420,751,Apr '15,tech-support-site-feedback
1164,Tapastic’s JPEG compression too extreme?,10,2.1k,Apr '15,tech-support-site-feedback
1165,How do you upload books on tapas?,367,1.5k,Apr '15,tech-support-site-feedback
1166,Views not being logged correctly,10,1.5k,Apr '15,tech-support-site-feedback
1167,Weird comic rendering on Tapastic,497,1.6k,Apr '15,tech-support-site-feedback
1168,Unable to Edit Comic Series URL,6,945,Mar '15,tech-support-site-feedback
1169,Update errors - 4/5/16,460,725,Mar '15,tech-support-site-feedback
1170,Bug - Ad counter is frozen since before the update,2,787,Mar '15,tech-support-site-feedback
1171,What happened to the translate button?,255,595,Mar '15,tech-support-site-feedback
1172,Preview when Sharing,2,1.2k,Mar '15,tech-support-site-feedback
1173,Anybody else having trouble opening forums?,294,1.3k,Mar '15,tech-support-site-feedback
1174,Issues logging into new app?,4,595,Mar '15,tech-support-site-feedback
1175,My profile is broken,327,683,Feb '15,tech-support-site-feedback
1176,Linking individual pages when using episodes,6,525,Feb '15,tech-support-site-feedback
1177,Cannot delete episode,472,690,Feb '15,tech-support-site-feedback
1178,Please provide better fallback font for latin extended signs (for example Polish),12,469,Feb '15,tech-support-site-feedback
1179,Possible Request – Lengthen the Lightbox time on Mobile + Desktop to 30 seconds?,1.2k,393,Feb '15,tech-support-site-feedback
1180,I can’t upload my comic,0,830,Feb '15,tech-support-site-feedback
1181,“Invalid file format”… but it’s not!,264,920,Feb '15,tech-support-site-feedback
1182,Help! Cannot delete episode!,5,648,Feb '15,tech-support-site-feedback
1183,How do I change my profile name and picture on the app?,513,528,Feb '15,tech-support-site-feedback
1184,Revenue hasn’t been updating the last couple days,2,738,Feb '15,tech-support-site-feedback
1185,Is this a bug or am I just crazy?,384,496,Jan '15,tech-support-site-feedback
1186,"Does Tapastic run extremely slow in Japan for everybody, or just me?",4,2.3k,Jan '15,tech-support-site-feedback
1187,Tapastic doesn’t work on my computer anymore?,451,942,Jan '15,tech-support-site-feedback
1188,Is there a place on here that gives you specific dimension sizes?,21,2.9k,Jan '15,tech-support-site-feedback
1189,Tech support response time? (Can’t access Dashboard),1.1k,1.7k,Jan '15,tech-support-site-feedback
1190,March Stats Not Showing Properly,8,696,Jan '15,tech-support-site-feedback
1191,Can’t update my series’ banner? Please help!,917,793,Jan '15,tech-support-site-feedback
1192,Uploader not reading file size correctly,11,775,Jan '15,tech-support-site-feedback
1193,How do you submit/upload hand drawn comics,647,1.2k,Jan '15,tech-support-site-feedback
1194,=[{Problem with my account}]=,7,696,Jan '15,tech-support-site-feedback
1195,Facebook Sharing Thumbnail is wrong,382,704,Jan '15,tech-support-site-feedback
